paper_id,title,BART_ROUGE1,BART_ROUGE2,BART_ROUGEL,BART_BERTScore,T5_ROUGE1,T5_ROUGE2,T5_ROUGEL,T5_BERTScore,BART_summary,T5_summary
HJfSEnRqKQ,Active Learning with Partial Feedback,0.12658227848101267,0.0,0.05063291139240506,0.8329590559005737,0.16091954022988506,0.0,0.09195402298850576,0.8341457843780518," Active Learning with Partial Feedback seeks to increase data efficiency by strategically choosing which examples to annotate . ALPF-learners fully annotate TinyImageNet at 42% lower cost . Ator responds with binary feedback, leaving the learner with a partial label .","the learner must actively choose which example to label and which binary question to ask . each answer eliminates some classes, leaving the learninger with a partial label . we propose active learning with partial feedback (AL) seeks to increase data efficiency by choosing which examples to annotate ."
rJg4J3CqFm,Learning Embeddings into Entropic Wasserstein Spaces,0.2448979591836735,0.0851063829787234,0.163265306122449,0.8714085817337036,0.23333333333333334,0.034482758620689655,0.13333333333333333,0.8515192270278931, Wasserstein spaces are much larger and more flexible than Euclidean spaces . They can successfully embed a wider variety of metric structures . Learned embeddings form the basis for many state-of-the-art learning systems .,waterstein spaces are much larger and more flexible than Euclidean spaces . we propose to exploit this flexibility by learning an embedding that captures the semantic information in the Wasserstein distance between embedded distributions . distances and angles encode their levels of association BID34 BID56 BID27 BID36 .
SJzMATlAZ,Deep Continuous Clustering,0.4,0.27586206896551724,0.4,0.8861351013183594,0.2162162162162162,0.0,0.1081081081081081,0.8564800024032593, Clustering is a fundamental procedure in machine learning and data analysis . We present a clustering algorithm that performs nonlinear dimensionality reduction and clustering jointly . The data is embedded into a lower-dimensional space by a deep autoencoder . The resulting network produces clustered data .,interpoint distances become less informative in high-dimensional spaces . a deep autoencoder is optimized as part of the clustering process .
SJzYdsAqY7,Spatial-Winograd Pruning Enabling Sparse Winograd Convolution,0.4324324324324324,0.16666666666666663,0.27027027027027023,0.8787210583686829,0.4615384615384615,0.16,0.34615384615384615,0.8757262229919434," Deep convolutional neural networks (CNNs) demand immense computational requirements . Pruning techniques and Winograd convolution are two typical methods to reduce the CNN computation . We propose a new pruning method, spatial-Winograd pruning, which uses an importance factor matrix to adjust weight importance and weight gradients .","we propose a new pruning method, spatial-Winograd pruning . the method can achieve the Winograd-domain sparsities of 63%, 50%, and 74% respectively ."
SygHGnRqK7,Probabilistic Federated Neural Matching,0.058823529411764705,0.0303030303030303,0.058823529411764705,0.8324741125106812,0.2909090909090909,0.18867924528301885,0.2909090909090909,0.8816158771514893," In federated learning problems, data is scattered across different servers and exchanging or pooling it is often impractical or prohibited . The standard machine learning paradigm involves algorithms that learn from centralized data . In the real world, data often lives in silos and amalgamating them may be prohibitively expensive by communication costs, time sensitivity or privacy concerns .",we develop a framework for federated learning with neural networks . each data server is assumed to train local neural network weights . we then develop an inference approach that allows us to synthesize a more expressive global network without additional supervision or data pooling .
B1n8LexRZ,Generalizing Hamiltonian Monte Carlo with Neural Networks,0.35294117647058826,0.09638554216867469,0.2823529411764706,0.8593457341194153,0.19672131147540983,0.0,0.09836065573770492,0.846391499042511," We present a general-purpose method to train Markov chain Monte Carlo kernels that converge and mix quickly to their target distribution . Our method generalizes Hamiltonian Monte Carlo and is trained to maximize expected squared jumped distance, a proxy for mixing speed . Python source code will be open-sourced with the camera-ready paper .",the method generalizes Hamiltonian Monte Carlo and is trained to maximize expected squared jumped distance . we show quantitative and qualitative gains on a real-world task: latent-variable generative modeling .
B1xhQhRcK7,Rigorous Agent Evaluation: An Adversarial Approach to Uncover Catastrophic Failures,0.18604651162790697,0.0,0.11627906976744189,0.8689044117927551,0.27027027027027023,0.0,0.13513513513513511,0.8880177140235901," This paper addresses the problem of evaluating learning systems in safety critical domains such as autonomous driving . We focus on two problems: searching for scenarios when learned agents fail and assessing their probability of failure . The standard method for agent evaluation in reinforcement learning, Vanilla Monte Carlo, can miss failures entirely, leading to the deployment of unsafe agents .","this paper addresses the problem of evaluating learning systems in safety critical domains . the standard method for agent evaluation in reinforcement learning, Vanilla Monte Carlo, can miss failures entirely, leading to the deployment of unsafe agents . to address this shortcoming, we propose an adversarial evaluation approach ."
rylDfnCqF7,Lagging Inference Networks and Posterior Collapse in Variational Autoencoders,0.2823529411764706,0.024096385542168672,0.16470588235294115,0.8491235971450806,0.2647058823529412,0.030303030303030307,0.14705882352941177,0.8527814745903015," The variational autoencoder is a popular combination of deep latent variable model and accompanying learning technique . VAEs efficiently parameterize a lower bound on marginal data likelihood that can be optimized directly via gradient methods . In practice, VAE training often results in a degenerate local optimum known as ""posterior collapse""",the variational autoencoder uses a neural inference network to approximate the model's posterior on latent variables . the model learns to ignore the latent variable and the approximate posterior mimics the prior .
BJhxcGZCW,Generative Discovery of Relational Medical Entity Pairs,0.49315068493150693,0.22535211267605634,0.32876712328767127,0.8650421500205994,0.2777777777777778,0.028571428571428574,0.19444444444444445,0.8387742638587952," Conditional Relationship Variational Autoencoder (CRVAE) can discover meaningful and novel relational medical entity pairs without the requirement of additional external knowledge . CRVAE is able to generate entity pairs for a particular relationship, even if it observes existing entity pairs only for that relationship .",online healthcare services can provide the general public with ubiquitous access to medical knowledge . the proposed model introduces the generative modeling capacity of variational autoencoder to entity pairs . relationship-enhanced entity representations are obtained as another appealing benefit of the proposed method .
B1e0X3C9tQ,Diagnosing and Enhancing VAE Models,0.2247191011235955,0.06896551724137931,0.20224719101123595,0.8575369715690613,0.16470588235294117,0.07228915662650603,0.16470588235294117,0.8515499830245972," It is commonly believed that Gaussian encoder/decoder assumptions reduce the effectiveness of VAEs in generating realistic samples . We rigorously analyze the VAE objective, differentiating situations where this belief is and not actually true . We then leverage the corresponding insights to develop a simple VAE enhancement that requires no additional hyperparameters or sensitive tuning . Quantitatively, this proposal produces crisp samples and stable FID scores that are competitive with a variety of GAN models .","we rigorously analyze the VAE objective, differentiating situations where this belief is and is not actually true . this proposal produces crisp samples and stable FID scores that are actually competitive with a variety of GAN models . denote a ground-truth probability measure on as gt . the probability mass of an infinitesimal dx on the manifold is invertible and differentiable . however, the required marginalization over z is generally infeasible . log "
